file_pair_id,file1_path,file2_path,file1_name,file2_name,Dolphin_length,MonkeyOCR_length,length_difference,similarity_ratio,character_error_rate,word_error_rate,edit_distance,status
14,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0070.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0070.md,digibok_2007031501007_0070.md,digibok_2007031501007_0070.md,2411,2646,235,0.8230175993672137,0.30609705516383245,0.19710144927536233,738,success
15,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0071.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0071.md,digibok_2007031501007_0071.md,digibok_2007031501007_0071.md,2818,2943,125,0.9185905224787363,0.14513839602555004,0.11583924349881797,409,success
16,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0072.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0072.md,digibok_2007031501007_0072.md,digibok_2007031501007_0072.md,2679,2797,118,0.9466764061358656,0.08659947741694662,0.11604938271604938,232,success
17,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0074.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0074.md,digibok_2007031501007_0074.md,digibok_2007031501007_0074.md,2489,2679,190,0.9206656346749226,0.12936922458818803,0.17101449275362318,322,success
18,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0075.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0075.md,digibok_2007031501007_0075.md,digibok_2007031501007_0075.md,3034,3348,314,0.921027890943278,0.14601186552406065,0.18541666666666667,443,success
19,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0076.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0076.md,digibok_2007031501007_0076.md,digibok_2007031501007_0076.md,2135,2399,264,0.7313630348478165,0.5395784543325527,0.5098039215686274,1152,success
20,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0077.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0077.md,digibok_2007031501007_0077.md,digibok_2007031501007_0077.md,2444,2815,371,0.833238258223997,0.3011456628477905,0.35327635327635326,736,success
21,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0078.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0078.md,digibok_2007031501007_0078.md,digibok_2007031501007_0078.md,2368,2719,351,0.8846078238647533,0.21452702702702703,0.24251497005988024,508,success
22,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0079.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0079.md,digibok_2007031501007_0079.md,digibok_2007031501007_0079.md,2492,2614,122,0.9212690951821386,0.11556982343499198,0.18956043956043955,288,success
23,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0080.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0080.md,digibok_2007031501007_0080.md,digibok_2007031501007_0080.md,2437,2629,192,0.8590604026845637,0.23799753795650389,0.1557377049180328,580,success
